CUI,RELA,CUI2,STR2
C0023418,manifestation_of,C0265325,Turcot syndrome (disorder)
C0023418,may_be_treated_by,C0025677,Methotrexate
C0023418,manifestation_of,C0004135,Ataxia Telangiectasia
C0023418,manifestation_of,C1327917,WT limb blood syndrome
C0024299,manifestation_of,C0268125,Purine-nucleoside phosphorylase deficiency
C0024299,manifestation_of,C0080113,Retinoblastoma Protein
C0027092,manifestation_of,C0024796,Marfan Syndrome
C0027092,manifestation_of,C1859317,Cataract and cardiomyopathy
C0027092,manifestation_of,C3808692,BLEPHAROPHIMOSIS-PTOSIS-INTELLECTUAL DISABILITY SYNDROME
C0029456,manifestation_of,C1846421,Lathosterolosis
,,,
C0035436,may_be_treated_by,C0691143,Aspirin 60 MG Rectal Suppository
C0035436,may_be_treated_by,C0691146,Aspirin 650 MG Rectal Suppository
C0029456,disease_has_associated_gene,C1332772,COL1A1 gene
C0035436,may_be_prevented_by,C0700553,Penicillin V Potassium
,,,
,,,
C0035436,may_be_treated_by,C0714615,Aspirin 325 MG Oral Tablet
C0035436,answer_to,C3258978,Medical history:Find:Pt:^Patient:Nom:PhenX
C0006277,manifestation_of,C0004135,Ataxia Telangiectasia
C0006277,manifestation_of,C0398791,Nijmegen Breakage Syndrome
C0003864,may_be_treated_by,C0073983,Salsalate
C0003864,manifestation_of,C2750068,Roifman-Chitayat Syndrome
C0002871,manifestation_of,C2748536,Leukocyte Adhesion Deficiency  Type III
C0002871,is_associated_disease_of,C2347753,Adult Pure Erythroid Leukemia
C0024299,disease_has_abnormal_cell,C0221277,Atypical lymphocyte
C0024530,answer_to,C2706779,Public health notifiable condition:Presence or Identity:Point in time:To be specified in another part of the message:Nominal
C0024530,may_be_prevented_by,C1639494,Dapsone 0.05 MG/MG Topical Gel
C0024530,has_contraindicated_drug,C0690252,Pyrimethamine 25 MG Oral Tablet
C0032285,related_to,C0024115,Lung diseases
